COUNT|Sr-Singles|Fa-24|1|8/26/24|1|28|NUB|NUB|9|/|X||7|2|9|/|X||9|/|9|/|X||8|/|X||X||8|
LEAVE|||||||||10||||4710|10|8||||4||7||||47||||||610|
SCORE|||||||||20||39||48||68||88||107||127||147||167||195|||||
TYPE|||||||||||||split-1|split-2||||||||||||||||||
BOARD|||||||||pocket||pocket||high||pocket||pocket||pocket||pocket||pocket||pocket||pocket||pocket||high|
LANE|||||||||||27||28||27||28||27||28||27||28||27||27||27|
BALL|||||||||NUB|NUB|NUB||NUB|NUB|NUB|NUB|NUB||NUB|NUB|NUB|NUB|NUB||NUB|NUB|NUB||NUB||NUB|
COUNT|Sr-Singles|Fa-24|1|8/26/24|2|27|NUB|NUB|X||X||9|/|9|-|X||8|1|8|/|8|/|X||X||X||X|
LEAVE|||||||||||||8||10||||710|10|47||25|||||||||
SCORE|||||||||29||49||68||77||96||105||123||143||173||203|||||
TYPE|||||||||||||||||||split-1|split-2||||||||||||
BOARD|||||||||pocket||pocket||pocket||pocket|left|pocket||pocket||pocket||light||pocket||pocket||pocket||pocket|
LANE|||||||||27||28||27||28||27||28||27||28||27||28||28||28|
BALL|||||||||NUB||NUB||NUB|NUB|NUB|NUB|NUB||NUB|NUB|NUB|NUB|NUB|NUB|NUB||NUB||NUB||NUB|
COUNT|Sr-Singles|Fa-24|1|8/26/24|3|28|NUB|NUB|X||8|1|7|2|7|/|X||8|/|9|/|7|/|9|/|9|/|X|||
LEAVE|||||||||||410|10|4710|10|3610||||310||10||124||9||9|||||
SCORE|||||||||19||28||37||57||77||96||113||132||151||171|||||
TYPE|||||||||||split-1|split-2|split-1|split-2|||||msplit-1|msplit-2||||||||||||
BOARD|||||||||pocket||high||high||high||pocket||high||pocket||light||pocket||pocket||pocket|||
LANE|||||||||28||27||28||27||28||27||28||27||28||27||27|||
BALL|||||||||NUB||NUB|NUB|NUB|NUB|NUB|NUB|NUB||NUB|NUB|NUB|NUB|NUB|NUB|NUB|NUB|NUB|NUB|NUB|||
COUNT|Sr-Singles|Fa-24|2|9/9/24|1|23|RPH|RPH|9|/|8|/|8|/|9|-|X||8|1|8|/|X||X||8|/|9|||
LEAVE|||||||||10||47||47||2|2|||25||2||||||28||7|||
SCORE|||||||||18||36||55||64||83||92||112||140||160||179|||||
TYPE||||||||||||||||||||||||||||||||
BOARD|||||||||pocket||h-pocket||h-pocket||light|left|pocket||light||light||pocket||pocket||light||pocket|||
LANE|||||||||23||24||23||24||23||24||23||24||23||24||24|||
BALL|||||||||RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH|RPH||RPH|RPH|RPH|RPH|RPH||RPH||RPH|RPH|RPH|||
COUNT|Sr-Singles|Fa-24|2|9/9/24|2|24|RPH/ETP|RPH|X||8|1|7|2|X||X||9|/|9|-|9|/|9|/|8|1||||
LEAVE|||||||||||310||479||||||7||7|7|10||7||57|7||||
SCORE|||||||||19||28||37||66||86||105||114||133||151||160|||||
TYPE|||||||||||m-split-1|m-split-2|split-1|split-2|||||||||||||m-split-1|m-split-2||||
BOARD|||||||||pocket||high|right|h-pocket||pocket||pocket||pocket||pocket|right|pocket||pocket||l-pocket|left||||
LANE|||||||||24||23||24||23||24||23||24||23||24||23|||||
BALL|||||||||RPH||RPH|RPH|RPH|RPH|ETP||ETP||ETP|RPH|ETP|RPH|ETP|RPH|ETP|RPH|ETP|RPH||||
COUNT|Sr-Singles|Fa-24|2|9/9/24|3|23|ETP|RPH|X||8|/|9|/|9|/|7|2|7|/|8|1|9|/|8|/|6|1||||
LEAVE|||||||||||610||4||10||346|4|245||39|9|7||310||36910|6910||||
SCORE|||||||||20||39||58||75||84||102||111||129||145||152|||||
TYPE|||||||||||||||||m-split-1|m-split-2|||||||m-split-1|m-split-2||||||
